ticker,exchange,industry,market_cap,roe,stock_rating,business_operation,business_model,financial_health,alpha,beta,uptrend,active_buy_pct,strong_buy_pct,high_vol_match,forecast_vol_ratio,pe,pb,ev_ebitda,dividend_yield,price_vs_sma5,price_vs_sma20,revenue_growth_1y,revenue_growth_5y,eps_growth_1y,eps_growth_5y,gross_margin,net_margin,doe,avg_trading_value_5d,avg_trading_value_10d,avg_trading_value_20d,relative_strength_3d,rel_strength_1m,rel_strength_3m,rel_strength_1y,total_trading_value,foreign_transaction,price_near_realtime,rsi14,foreign_vol_pct,tc_rs,tcbs_recommend,tcbs_buy_sell_signal,foreign_buysell_20s,num_increase_continuous_day,num_decrease_continuous_day,eps,macd_histogram,vol_vs_sma5,vol_vs_sma10,vol_vs_sma20,vol_vs_sma50,price_vs_sma10,price_vs_sma50,price_break_out52_week,price_wash_out52_week,sar_vs_macd_hist,bolling_band_signal,dmi_signal,rsi14_status,price_growth_1w,price_growth_1m,breakout,prev_1d_growth_pct,prev_1m_growth_pct,prev_1y_growth_pct,prev_5y_growth_pct,has_financial_report,free_transfer_rate,net_cash_per_market_cap,net_cash_per_total_assets,profit_last_4q,last_quarter_revenue_growth,second_quarter_revenue_growth,last_quarter_profit_growth,second_quarter_profit_growth,pct_1y_from_peak,pct_away_from_hist_peak,pct_1y_from_bottom,pct_off_hist_bottom,price_vs_sma100,heating_up,price_growth1_day,vsma5,vsma10,vsma20,vsma50,corporate_percentage,ev,quarter_revenue_growth,quarter_income_growth,peg_trailing,quarterly_income,quarterly_revenue,ps,roa,npl,nim,price_vs_sma200,eps_ttm_growth1_year,eps_ttm_growth5_year,equity_mi,eps_recently,percent_price_vs_ma200,percent_price_vs_ma20,percent_price_vs_ma50,percent_price_vs_ma100
DNW,UPCOM,"Điện, nước & xăng dầu khí đốt",4175.0,11.7,3.3,3.3,3.0,4.4,0.1,0.1,,100.0,31.7,8.2,0.6,15.7,1.8,7.6,5.1,Giá cắt lên SMA(5),Giá nằm trên SMA(20),7.26,3.65,4.02,16.88,38.4,24.3,0.3,0.22,0.18,0.1,61.0,79.0,75.0,50.0,0.15,,34.8,57.2,0.05,66.0,,Mua mạnh,0.0,1.0,,2218.0,MACD Histogram > 0 và tăng dần,0.7,0.8,1.5,1.1,,Giá nằm trên SMA(50),,,Tín hiệu mua,,,Trung tính,-0.57,2.35,,0.52,2.35,12.62,147.83,Có,10.0,-16.3,-20.0,266.2,5.4,1.6,20.8,-73.0,-2.0,-1.5,45.6,582.2,Giá nằm trên SMA(100),,0.52,6.0,5.0,2.8,4.0,94.9,5.0,-2.5,145.2,-0.9,81.0,333.0,3.2,7.8,,,,-17.9,17.48,2288.0,2218.0,8.0,1.0,2.1,4.8
DOC,UPCOM,Hóa chất,,,,1.6,,3.4,0.0,0.0,,,5.3,,,,,,,,,,,-16.49,25.06,,,,0.02,0.01,0.01,,,,,,,,,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,Không,10.0,,,,,,,,,,,,,,,,,,,72.1,,,,,,,,,,,,,,,,,,,
DOP,UPCOM,Hàng & Dịch vụ Công nghiệp,,,,1.8,,3.4,0.1,0.0,,,3.4,,,,,,,,,,,-20.84,,,,,0.0,0.0,0.0,,,,,,,,,0.15,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,Không,45.0,,,,,,,,,,,,,,,,,,,51.0,,,,,,,,,,,,,,,,,,,
DP1,UPCOM,Y tế,768.0,21.7,2.7,2.6,3.0,3.4,0.0,0.4,,100.0,31.7,27.6,0.4,7.2,1.3,9.2,5.4,,Giá cắt xuống SMA(20),-6.14,-2.64,10.5,24.66,12.23,8.85,0.8,0.04,0.03,0.07,70.0,57.0,61.0,30.0,0.01,,36.9,48.3,0.0,54.0,,Trung tính,0.0,,2.0,5101.0,MACD Histogram < 0 và tăng dần,0.4,0.5,0.2,0.1,,Giá cắt xuống SMA(50),,,,Tín hiệu bán,,Trung tính,0.82,-0.98,,-0.81,-0.98,2.95,201.55,Có,15.0,-60.5,-27.0,107.0,7.0,6.8,-4.6,0.7,-11.0,-12.7,13.8,482.9,Giá nằm trên SMA(100),,-0.81,1.0,0.8,2.1,2.9,65.4,1.0,-6.3,102.1,-0.3,45.0,513.0,0.4,7.5,,,"{'vi': 'Giá cắt xuống SMA(200)', 'en': 'Price cross below SMA(200)'}",-22.67,172.53,576.0,5101.0,-0.2,-0.5,-0.3,0.2
DP2,UPCOM,Y tế,84.0,-4.4,,1.6,3.5,1.6,-0.1,0.0,,,,,,-24.9,1.1,32.3,0.0,,,3.61,5.22,,,16.42,,1.3,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,0.0,0.0,-169.0,,,,,,,,,,,,,,,,,,,,,Có,10.0,-99.4,-19.9,-3.4,13.7,4.9,,,,,,,,,,,,,,94.2,0.0,-20.4,,0.3,-2.0,50.0,0.4,-0.8,,,,,,76.0,-169.0,,,,
DP3,HNX,Y tế,1118.0,25.8,2.9,3.6,3.5,4.8,-0.1,0.4,,62.9,36.9,2.0,0.5,8.7,2.1,7.9,5.4,Giá cắt xuống SMA(5),Giá nằm dưới SMA(20),1.89,0.32,-3.27,-10.14,68.03,19.15,0.0,0.65,0.65,1.15,51.0,47.0,48.0,21.0,0.32,,52.0,37.6,0.9,42.0,,Bán,0.0,,1.0,6004.0,MACD Histogram < 0 và tăng dần,0.5,0.5,0.3,0.3,,Giá nằm dưới SMA(50),,,,,,Trung tính,-1.33,-3.17,,-0.57,-3.17,-8.62,110.36,Có,30.0,-1.0,-1.6,129.1,26.3,-8.0,8.1,15.7,-14.8,-28.3,10.6,1635.6,Giá nằm dưới SMA(100),,-0.57,11.4,11.9,23.6,19.4,32.4,1.0,27.6,-28.3,1.4,23.0,120.0,2.6,20.5,,,,6.14,60.51,533.0,6004.0,-4.4,-1.6,-1.6,-1.7
DPC,UPCOM,Hàng & Dịch vụ Công nghiệp,18.0,4.1,1.7,1.6,,1.8,0.1,0.0,,100.0,4.3,3375.0,25.0,17.3,0.7,12.7,0.0,,Giá nằm dưới SMA(20),5.2,-17.24,,,59.57,12.84,1.4,0.0,0.0,0.0,,,,,0.01,,8.0,42.8,1.23,,,Bán mạnh,0.0,,2.0,468.0,MACD Histogram < 0 và giảm dần,25.0,4.3,2.0,1.1,,Giá nằm dưới SMA(50),,,,,,Trung tính,-11.11,-2.44,,0.0,-2.44,-20.0,-41.58,Không,40.0,-197.2,-52.8,1.0,-43.7,-35.8,,,-57.0,-82.0,12.7,46.5,Giá nằm dưới SMA(100),,0.0,0.0,0.2,0.5,0.9,29.0,0.0,,,,,,,1.5,,,,,,,468.0,-22.7,-9.1,-3.4,-19.7
DPG,HSX,Xây dựng và Vật liệu,4450.0,13.1,2.4,2.0,3.2,4.0,0.1,1.1,,37.7,21.6,3.0,0.4,17.5,2.2,11.7,3.5,,Giá nằm dưới SMA(20),3.69,12.64,10.26,-6.28,14.05,6.32,1.2,82.48,107.24,96.53,68.0,48.0,25.0,67.0,37.05,Mua < Bán,44.15,43.1,5.53,52.0,Chờ bán,Bán,438.0,,1.0,2518.0,MACD Histogram < 0 và giảm dần,0.5,0.4,0.4,0.4,,Giá nằm dưới SMA(50),,,,,,Trung tính,-10.45,-2.97,,-1.01,-2.97,25.14,316.16,Không,30.0,-55.9,-34.1,253.8,18.9,24.0,34.0,24.5,-14.3,-20.2,69.9,1540.6,Giá nằm dưới SMA(100),,-1.01,1679.8,2197.4,1980.1,2354.8,5.2,8.0,,,,,,,3.8,,,,,,,2518.0,16.3,-4.6,-3.2,-2.0
DPH,UPCOM,Y tế,160.0,18.3,,2.0,,5.0,0.2,0.1,,,,,,,,,3.2,,,-2.74,-5.3,-5.3,8.74,10.37,1.27,0.3,0.0,0.0,0.01,,,,,,,,,0.06,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,Không,25.0,,,,,,,,,,,,,,,,,,,11.7,,,,,,,,4.9,,,,,,,3273.0,,,,
DPM,HSX,Hóa chất,15638.0,5.6,2.6,2.0,4.2,4.6,-0.1,1.0,,44.5,68.7,12.4,0.4,24.0,1.4,19.8,7.7,Giá cắt xuống SMA(5),Giá nằm dưới SMA(20),-0.54,11.93,3.52,-3.9,16.92,7.6,0.3,80.98,109.96,109.63,25.0,13.0,38.0,65.0,41.58,Mua > Bán,23.0,38.8,5.26,35.0,Chờ mua,Bán,-9630.0,,2.0,957.0,MACD Histogram < 0 và tăng dần,0.6,0.4,0.4,0.4,,Giá nằm dưới SMA(50),,,,,,Trung tính,-3.56,-11.54,,-1.29,-11.54,22.07,267.08,Không,40.0,-17.0,-14.4,650.8,34.3,24.6,74.7,-22.4,-23.1,-24.4,51.4,586.5,Giá nằm dưới SMA(100),,-1.29,3166.2,4508.9,4742.6,4219.4,81.0,18.0,,,,,,,3.8,,,,,,,957.0,6.8,-4.0,-10.5,-4.2
