ticker,exchange,industry,market_cap,roe,stock_rating,business_operation,business_model,financial_health,alpha,beta,uptrend,active_buy_pct,strong_buy_pct,high_vol_match,forecast_vol_ratio,pe,pb,ev_ebitda,dividend_yield,price_vs_sma5,price_vs_sma20,revenue_growth_1y,revenue_growth_5y,eps_growth_1y,eps_growth_5y,gross_margin,net_margin,doe,avg_trading_value_5d,avg_trading_value_10d,avg_trading_value_20d,relative_strength_3d,rel_strength_1m,rel_strength_3m,rel_strength_1y,total_trading_value,foreign_transaction,price_near_realtime,rsi14,foreign_vol_pct,tc_rs,tcbs_recommend,tcbs_buy_sell_signal,foreign_buysell_20s,num_increase_continuous_day,num_decrease_continuous_day,eps,macd_histogram,vol_vs_sma5,vol_vs_sma10,vol_vs_sma20,vol_vs_sma50,price_vs_sma10,price_vs_sma50,price_break_out52_week,price_wash_out52_week,sar_vs_macd_hist,bolling_band_signal,dmi_signal,rsi14_status,price_growth_1w,price_growth_1m,breakout,prev_1d_growth_pct,prev_1m_growth_pct,prev_1y_growth_pct,prev_5y_growth_pct,has_financial_report,free_transfer_rate,net_cash_per_market_cap,net_cash_per_total_assets,profit_last_4q,last_quarter_revenue_growth,second_quarter_revenue_growth,last_quarter_profit_growth,second_quarter_profit_growth,pct_1y_from_peak,pct_away_from_hist_peak,pct_1y_from_bottom,pct_off_hist_bottom,price_vs_sma100,heating_up,price_growth1_day,vsma5,vsma10,vsma20,vsma50,corporate_percentage,ev,quarter_revenue_growth,quarter_income_growth,peg_trailing,quarterly_income,quarterly_revenue,ps,roa,npl,nim,price_vs_sma200,eps_ttm_growth1_year,eps_ttm_growth5_year,equity_mi,eps_recently,percent_price_vs_ma200,percent_price_vs_ma20,percent_price_vs_ma50,percent_price_vs_ma100
A32,UPCOM,Hàng cá nhân & Gia dụng,,,,1.7,3.5,2.6,0.1,-0.1,,100.0,74.6,46.5,0.2,,,,,Giá cắt lên SMA(5),Giá nằm dưới SMA(20),,,-0.91,-3.51,,,,0.02,0.03,0.02,,,,,0.0,,33.4,40.0,0.0,,,Bán,0.0,2.0,,,MACD Histogram < 0 và tăng dần,0.2,0.1,0.1,0.3,,Giá nằm dưới SMA(50),,,,,,Trung tính,-0.6,-4.67,,2.77,-4.67,5.89,100.81,Không,50.0,,,,,,,,-22.9,-45.5,17.9,188.9,Giá nằm dưới SMA(100),,2.77,0.6,0.9,0.8,0.4,51.0,,,,,,,,,,,,,,,,-8.4,-4.3,-6.1,-8.2
AAA,HSX,Hóa chất,3008.0,5.1,2.5,1.5,3.0,4.0,-0.2,1.0,,45.4,50.5,1.9,0.4,10.9,0.6,5.1,3.6,,Giá nằm dưới SMA(20),1.27,6.66,27.36,-7.87,15.33,5.7,0.5,15.64,16.14,18.78,64.0,34.0,44.0,16.0,6.66,Mua < Bán,7.64,39.1,1.92,40.0,,Bán mạnh,-2242.0,,1.0,698.0,MACD Histogram < 0 và tăng dần,0.5,0.4,0.5,0.3,,Giá nằm dưới SMA(50),,,,,,Trung tính,-4.26,-5.56,,-0.65,-5.56,-10.71,-22.04,Không,50.0,-39.9,-9.9,274.9,-17.0,30.1,-3.1,-66.4,-14.4,-65.1,24.3,243.0,Giá nằm dưới SMA(100),,-0.65,1883.9,1975.8,1893.5,2603.3,74.8,5.0,,,,,,,2.3,,,,,,,698.0,-2.0,-4.7,-5.9,-3.2
AAH,UPCOM,Tài nguyên Cơ bản,423.0,1.5,2.5,1.1,,4.2,-0.1,0.8,,65.1,40.1,11.1,0.4,24.0,0.4,14.8,0.0,,Giá nằm dưới SMA(20),404.43,,2.6,,3.27,0.03,0.1,4.07,4.75,3.95,93.0,74.0,0.0,,2.32,,3.6,35.1,0.0,56.0,,Bán mạnh,0.0,,1.0,149.0,MACD Histogram < 0 và tăng dần,0.6,0.5,0.6,0.5,,Giá nằm dưới SMA(50),,,,,,Trung tính,-6.95,-12.2,,-0.08,-12.2,-14.02,,Có,75.0,-20.6,-5.7,17.6,,,,,-43.8,-82.7,9.1,11.2,Giá nằm dưới SMA(100),,-0.08,999.2,1203.9,997.4,1421.4,,1.0,-15.1,,0.5,0.0,245.0,0.4,1.2,,,,,,1202.0,149.0,-14.2,-8.4,-12.1,-12.4
AAM,HSX,Thực phẩm và đồ uống,73.0,0.7,,1.2,,4.2,-0.1,0.4,,100.0,13.0,22.3,2.4,52.4,0.4,-1.8,0.0,Giá cắt lên SMA(5),Giá nằm dưới SMA(20),12.23,-6.62,,,10.69,0.94,0.0,0.03,0.04,0.06,28.0,51.0,75.0,45.0,0.07,,7.03,47.4,0.8,50.0,,Bán,-1.0,1.0,,134.0,MACD Histogram > 0 và tăng dần,5.3,2.6,3.1,1.2,,Giá nằm dưới SMA(50),,,,,,Trung tính,-1.68,0.43,,0.43,0.43,0.43,-30.78,Có,30.0,132.4,47.7,1.4,-14.7,89.2,,,-8.6,-58.2,17.4,38.6,Giá nằm dưới SMA(100),,0.43,2.0,4.0,3.4,8.6,6.2,0.0,-34.0,-64.6,-0.4,0.0,42.0,0.4,0.7,,,,,,199.0,134.0,-0.4,-0.2,-1.7,-1.6
AAS,UPCOM,Dịch vụ tài chính,2195.0,6.3,2.7,3.8,2.8,3.6,0.0,1.1,,29.9,37.3,0.0,0.3,13.6,0.8,8.8,0.0,,Giá nằm dưới SMA(20),-37.58,24.91,-15.27,6.06,80.33,48.8,0.6,26.3,48.52,35.89,49.0,14.0,59.0,76.0,13.45,,9.7,34.2,0.08,50.0,,Bán mạnh,101.0,,1.0,703.0,MACD Histogram < 0 và giảm dần,0.6,0.3,0.4,0.5,,Giá nằm dưới SMA(50),,,,,,Trung tính,-13.79,-11.5,,-1.49,-11.5,41.92,152.58,Có,100.0,-57.3,-28.3,161.6,143.0,9.5,600.3,-1.0,-60.6,-59.7,79.6,206.4,Giá nằm dưới SMA(100),,-1.49,2392.6,4308.9,3191.8,3072.5,0.4,3.0,72.3,482.0,0.1,112.0,230.0,4.1,4.0,,,,111.1,5000.0,2653.0,703.0,-3.2,-10.2,-28.0,-16.8
AAT,HSX,Hàng cá nhân & Gia dụng,254.0,0.0,2.3,1.4,2.9,3.2,-0.1,0.6,,70.9,12.2,55.0,1.0,-1588.5,0.4,13.9,0.0,Giá cắt lên SMA(5),Giá nằm dưới SMA(20),-2.73,14.49,,,10.62,2.86,0.5,0.18,0.16,0.16,34.0,63.0,14.0,15.0,0.16,,3.59,45.2,0.76,32.0,,Trung tính,0.0,2.0,,-2.0,MACD Histogram < 0 và tăng dần,1.0,1.1,1.2,0.6,,Giá nằm dưới SMA(50),,,,,,Trung tính,-2.97,-6.27,,2.87,-6.27,7.16,,Không,85.0,-135.4,-24.9,-0.2,-0.3,1.3,270.1,349.7,-10.0,-80.8,48.4,38.1,Giá nằm trên SMA(100),,2.87,44.1,39.4,38.4,79.4,,1.0,,,,,,,0.0,,,,,,,-2.0,7.8,-2.9,-2.1,3.7
AAV,HNX,Bất động sản,393.0,-1.5,2.1,1.0,3.5,3.2,-0.2,1.0,,65.3,19.6,16.5,0.6,-35.4,0.5,629.4,0.0,,Giá nằm dưới SMA(20),-47.36,-41.2,,,4.92,,0.1,1.97,2.09,2.35,12.0,13.0,2.0,17.0,1.29,Mua < Bán,5.7,43.9,0.12,11.0,,Bán,-17.0,,1.0,-161.0,MACD Histogram < 0 và giảm dần,0.7,0.7,0.6,0.5,,Giá nằm dưới SMA(50),,,,,,Trung tính,-3.39,0.0,,-1.72,0.0,3.64,-10.73,Không,75.0,-17.8,-7.4,-11.1,4359.8,4888.2,,,-40.0,-81.6,9.6,103.6,Giá nằm dưới SMA(100),,-1.72,302.3,335.7,398.6,493.2,2.0,1.0,,,,,,,-1.2,,,,,,,-161.0,-15.8,-2.6,-3.6,-9.7
ABB,UPCOM,Ngân hàng,13889.0,8.8,3.0,2.0,3.0,2.2,0.2,0.7,,52.3,31.7,1.7,0.8,10.9,0.9,,0.0,,Giá nằm trên SMA(20),4.27,4.43,29.12,-17.27,,38.26,,83.64,75.18,52.64,93.0,90.0,95.0,88.0,79.63,,13.5,64.5,16.5,92.0,,Mua mạnh,620.0,0.0,0.0,1228.0,MACD Histogram > 0 và tăng dần,1.1,1.1,1.5,1.1,,Giá nằm trên SMA(50),,,,,,Trung tính,5.61,11.78,,0.77,11.78,75.42,,Không,60.0,,,1271.2,55.3,48.8,208.4,116.3,-5.6,-17.9,121.3,140.3,Giá nằm trên SMA(100),,0.77,5216.7,5182.5,3983.8,5550.4,34.2,,,,,,,,0.7,2.7,2.3,,,,,1228.0,43.8,5.7,6.5,20.8
ABC,UPCOM,Viễn thông,240.0,1.8,2.7,1.1,3.5,4.2,-0.1,0.7,,46.6,30.7,0.6,1.7,27.2,0.5,-16.1,0.0,,Giá nằm trên SMA(20),6.33,-12.95,-73.31,-23.75,2.17,1.26,0.4,1.29,0.75,0.62,42.0,21.0,6.0,11.0,1.82,,11.6,70.6,0.9,20.0,,Mua mạnh,0.0,2.0,,433.0,MACD Histogram > 0 và tăng dần,1.8,2.9,4.1,3.3,,Giá nằm trên SMA(50),,,,,,Trung tính,10.48,11.04,Tín hiệu mua,3.33,11.04,12.23,2.59,Có,60.0,-40.0,-11.1,8.8,-0.1,156.3,-55.1,225.0,-34.8,-46.3,33.3,195.7,Giá nằm trên SMA(100),,3.33,84.3,52.0,37.2,46.3,28.3,0.0,-13.5,88.8,-0.4,4.0,317.0,0.2,1.1,,,,-72.07,-76.25,503.0,433.0,4.6,8.2,10.2,10.3
ABI,UPCOM,Bảo hiểm,1960.0,17.1,2.5,1.3,3.0,4.0,0.0,0.5,,79.9,29.6,30.0,0.5,7.1,1.2,-3.0,0.0,Giá cắt lên SMA(5),Giá nằm dưới SMA(20),,,-16.9,-18.95,,,0.0,2.24,1.61,1.29,56.0,38.0,37.0,51.0,1.26,Mua > Bán,19.5,38.9,11.92,46.0,,Bán mạnh,179.0,,1.0,2712.0,MACD Histogram < 0 và tăng dần,0.6,0.9,1.0,0.6,,Giá nằm dưới SMA(50),,,,,,Trung tính,-4.48,-4.37,,0.35,-4.37,13.59,64.9,Có,35.0,5.5,2.3,274.9,13.1,10.6,,-15.1,-15.2,-21.4,20.8,3666.0,Giá nằm dưới SMA(100),,0.35,102.9,75.5,64.0,102.9,68.1,2.0,-4.4,-17.3,0.1,54.0,609.0,,6.2,,,,67.53,1.16,1702.0,2712.0,-4.2,-4.7,-6.8,-6.2
ABR,HSX,Hàng & Dịch vụ Công nghiệp,269.0,5.7,2.9,3.0,3.5,4.2,0.1,0.4,,14.3,44.7,39.3,0.3,16.9,1.0,11.9,39.2,,Giá nằm dưới SMA(20),-53.62,-1.64,-36.29,18.64,92.4,40.9,0.0,0.08,0.06,0.07,96.0,21.0,5.0,2.0,0.02,Mua > Bán,13.45,45.8,48.41,31.0,,Trung tính,1.0,2.0,,795.0,MACD Histogram < 0 và tăng dần,0.3,0.4,0.4,0.2,,Giá nằm dưới SMA(50),,,,,,Trung tính,-2.54,-13.77,,1.51,-13.77,7.83,-26.74,Có,4.0,27.0,23.7,15.9,-3.9,,-19.3,-39.3,-18.4,-48.0,55.9,529.3,Giá nằm trên SMA(100),,1.51,5.9,4.0,4.0,6.9,88.4,0.0,-2.4,-24.8,0.9,2.0,6.0,10.8,4.9,,,,19.17,,265.0,795.0,13.8,-3.8,-2.5,6.5
ABS,HSX,Hóa chất,236.0,-38.6,3.0,1.1,3.0,4.0,-0.4,0.8,,59.0,53.7,7.3,0.8,-0.8,0.4,-1.1,0.0,,Giá nằm dưới SMA(20),-61.36,-12.91,-70.61,-40.63,6.23,5.54,0.1,0.54,1.09,0.84,85.0,94.0,91.0,8.0,0.44,,2.95,28.0,0.0,70.0,,Bán mạnh,0.0,2.0,,-3722.0,MACD Histogram < 0 và tăng dần,1.0,0.4,0.6,0.6,,Giá nằm dưới SMA(50),,,,,,Trung tính,0.0,-22.16,,1.03,-22.16,-18.06,-70.45,Có,90.0,-25.0,-8.3,-297.8,-70.3,-79.6,540.5,-8752.1,-43.8,-95.8,5.0,5.0,Giá nằm dưới SMA(100),,1.03,155.4,341.4,261.1,253.3,0.0,0.0,-14.9,,0.0,2.0,30.0,1.1,-34.8,,,,,,623.0,-3722.0,-24.0,-10.1,-17.6,-19.1
ABT,HSX,Thực phẩm và đồ uống,754.0,25.5,3.1,3.7,3.0,4.8,0.2,0.6,,33.3,47.4,3.1,0.2,5.4,1.3,5.7,8.1,,Giá nằm dưới SMA(20),9.54,10.07,58.9,15.26,30.77,34.76,0.1,0.29,0.53,0.7,69.0,12.0,90.0,87.0,0.12,,64.0,45.3,1.92,64.0,,Trung tính,4.0,,1.0,11924.0,MACD Histogram < 0 và tăng dần,0.4,0.2,0.2,0.1,,Giá nằm dưới SMA(50),,,,,,Trung tính,-1.54,-11.6,,-1.23,-11.6,71.69,161.37,Không,13.0,-7.4,-7.4,140.4,11.9,34.4,82.9,98.2,-15.3,-13.4,84.0,2001.9,Giá nằm trên SMA(100),,-1.23,4.2,8.1,11.1,13.8,76.5,1.0,,,,,,,19.8,,,,,,,11924.0,24.9,-1.6,-3.2,7.2
ABW,UPCOM,Dịch vụ tài chính,1035.0,8.4,2.0,2.3,,2.2,0.0,1.1,,47.5,41.1,0.6,0.7,8.3,0.7,13.8,0.0,,Giá nằm dưới SMA(20),29.6,32.05,39.74,,76.54,33.11,1.7,1.64,2.15,1.9,15.0,20.0,76.0,61.0,1.43,Mua > Bán,10.2,32.7,1.49,43.0,,Bán mạnh,76.0,,1.0,1238.0,MACD Histogram < 0 và giảm dần,1.1,0.8,0.8,0.4,,Giá nằm dưới SMA(50),,,,,,Trung tính,-6.45,-6.82,,-2.26,-6.82,16.91,,Có,25.0,-246.4,-60.0,125.2,58.6,3.6,72.5,-17.0,-26.6,-37.8,72.9,62.5,Giá nằm trên SMA(100),,-2.26,129.5,185.3,171.8,375.8,50.5,4.0,28.4,40.7,0.4,46.0,140.0,2.3,3.3,,,,21.99,363.65,1570.0,1238.0,10.9,-6.5,-10.7,-0.1
ACB,HSX,Ngân hàng,128416.0,20.4,3.2,4.3,4.2,3.1,-0.1,1.0,,51.2,88.3,7.2,0.6,7.4,1.4,,4.6,Giá cắt lên SMA(5),Giá nằm dưới SMA(20),2.35,15.8,4.64,8.0,,51.05,,440.89,434.53,376.26,49.0,56.0,75.0,59.0,292.99,Mua > Bán,25.0,38.8,29.98,60.0,Chờ mua,Bán,304.0,1.0,,3385.0,MACD Histogram < 0 và tăng dần,0.8,0.7,0.8,0.6,,Giá nằm dưới SMA(50),,,,,,Trung tính,-4.94,-1.38,,0.2,-1.38,20.17,168.68,Có,85.0,,,17385.4,3.1,7.4,10.6,9.2,-15.2,-15.1,44.2,1392.0,Giá nằm trên SMA(100),,0.2,15209.5,15722.4,14488.5,19475.9,25.5,,-9.8,-12.3,1.1,4281.0,8385.0,,2.0,1.1,3.2,,6.98,160.16,91416.0,3385.0,10.0,-3.6,-5.3,2.6
ACC,HSX,Xây dựng và Vật liệu,1407.0,3.9,2.2,1.9,3.5,2.8,0.0,0.1,,20.0,18.4,15.9,0.3,27.3,1.0,27.5,0.0,,Giá nằm dưới SMA(20),7.43,8.13,-24.76,-18.81,11.64,4.15,0.8,0.12,0.11,0.16,49.0,63.0,39.0,36.0,0.04,,13.4,43.6,7.47,47.0,,Bán,0.0,1.0,,492.0,MACD Histogram < 0 và tăng dần,0.4,0.4,0.3,0.1,,Giá nằm dưới SMA(50),,,,,,Trung tính,-0.74,-0.37,,0.75,-0.37,1.52,150.76,Không,30.0,-78.9,-37.8,51.6,37.0,17.0,9.1,-13.1,-11.0,-46.0,5.1,584.9,Giá nằm dưới SMA(100),,0.75,8.5,8.3,11.1,34.3,79.1,3.0,,,,,,,2.0,,,,,,,492.0,-5.3,-1.2,-2.6,-3.7
ACE,UPCOM,Xây dựng và Vật liệu,,,,2.3,,4.0,0.1,0.2,,100.0,66.1,14.1,0.1,,,,,,Giá nằm trên SMA(20),,,2.67,-0.06,,,,0.18,0.19,0.15,,,,,0.02,,40.8,54.6,0.25,,,Mua mạnh,0.0,,1.0,,MACD Histogram > 0 và tăng dần,0.1,0.1,0.2,0.2,,Giá nằm trên SMA(50),,,,,,Trung tính,2.63,1.28,,0.24,1.28,22.66,118.34,Không,45.0,,,,,,,,-13.5,-10.1,31.0,2931.4,Giá nằm trên SMA(100),,0.24,4.4,4.6,3.9,3.4,52.8,,,,,,,,,,,,,,,,9.3,1.4,1.3,2.9
ACG,HSX,Tài nguyên Cơ bản,,,2.4,2.0,3.0,4.8,-0.1,0.4,,100.0,70.0,3.3,0.1,,,,,,Giá nằm dưới SMA(20),,,,,,,,0.25,0.24,0.22,20.0,52.0,28.0,19.0,0.01,,35.55,45.1,38.47,30.0,,Bán,0.0,1.0,,,MACD Histogram > 0 và tăng dần,0.1,0.1,0.1,0.0,,Giá nằm dưới SMA(50),,,,,,Trung tính,0.14,-2.07,,0.99,-2.07,-9.21,,Không,8.0,,,,,,,,-15.7,-36.9,11.2,27.1,Giá nằm dưới SMA(100),,0.99,6.8,6.6,6.1,9.5,88.5,,,,,,,,,,,,,,,,-4.5,-0.4,-2.0,-2.9
ACL,HSX,Thực phẩm và đồ uống,677.0,1.8,2.2,1.3,3.0,2.6,0.0,0.6,,47.9,7.7,84.9,1.5,45.9,0.8,20.9,0.0,,Giá nằm trên SMA(20),56.6,4.29,9.26,-40.28,10.53,1.11,1.0,0.08,0.2,0.27,57.0,84.0,58.0,36.0,0.13,Mua < Bán,13.45,54.7,2.13,59.0,,Trung tính,-4.0,1.0,,294.0,MACD Histogram < 0 và giảm dần,2.2,0.7,0.5,0.3,,Giá nằm trên SMA(50),,,,,,Trung tính,-0.74,1.51,,0.0,1.51,13.03,12.33,Không,25.0,-107.1,-39.8,14.8,3.5,32.3,132.5,13.9,-5.0,-57.0,60.7,674.7,Giá nằm trên SMA(100),,0.0,4.2,14.0,19.3,33.6,,1.0,,,,,,,0.8,,,,,,,294.0,16.1,0.1,4.3,9.4
ACM,UPCOM,Tài nguyên Cơ bản,26.0,-4.4,,1.2,,2.8,-0.1,0.1,,29.4,27.7,0.5,23.9,-2.0,0.1,-62.1,0.0,Giá cắt lên SMA(5),Giá cắt lên SMA(20),,,,,,,0.2,0.14,0.09,0.06,,,,,0.72,,0.6,58.6,2.8,,,Mua mạnh,0.0,1.0,,-296.0,MACD Histogram > 0 và tăng dần,71430.0,47.8,39.8,9.6,Giá cắt lên SMA(10),Giá cắt lên SMA(50),,,,Tín hiệu mua,,Trung tính,20.0,0.0,,20.0,0.0,0.0,-25.0,Không,100.0,-253.8,-14.5,-15.1,,,,,-33.3,-93.9,20.0,100.0,Giá nằm trên SMA(100),,20.0,0.0,29.9,35.9,148.1,,0.0,,,,,,,-2.8,,,,,,,-296.0,-5.3,13.2,6.4,0.3
ACS,UPCOM,Xây dựng và Vật liệu,,,,1.1,,1.8,0.1,0.0,,,,,,,,,,,,,,203.82,,,,,0.0,0.0,0.0,,,,,,,,,0.11,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,Không,20.0,,,,,,,,,,,,,,,,,,,26.1,,,,,,,,,,,,,,,,,,,
ACV,UPCOM,Hàng & Dịch vụ Công nghiệp,190171.0,16.6,2.5,3.2,3.0,4.8,-0.2,0.6,,29.6,43.8,0.2,0.5,19.3,3.0,12.3,0.0,,Giá nằm dưới SMA(20),12.99,4.28,44.29,-5.04,61.81,34.88,0.2,36.84,39.16,36.98,83.0,21.0,19.0,4.0,21.12,Mua > Bán,53.2,38.5,2.72,32.0,Chờ bán,Trung tính,-2067.0,,1.0,2751.0,MACD Histogram > 0 và tăng dần,0.6,0.6,0.6,0.6,,Giá nằm dưới SMA(50),,,Tín hiệu mua,,,Trung tính,0.09,-7.81,,-1.3,-7.81,-25.15,37.1,Không,4.6,-3.5,-8.1,9854.1,14.5,12.5,-23.7,4.6,-32.1,-35.5,17.5,160.9,Giá nằm dưới SMA(100),,-1.3,623.8,698.6,681.2,701.1,96.8,197.0,,,,,,,12.9,,,,,,,2751.0,-12.6,-2.2,-8.1,-8.7
ADC,HNX,Truyền thông,80.0,13.7,,2.3,,3.8,0.0,0.2,,,10.5,,,7.4,1.0,5.0,7.7,,,-4.49,1.7,-1.9,4.76,28.25,2.42,0.0,0.0,0.0,0.0,,,,,,,,,8.24,,,,0.0,0.0,0.0,2747.0,,,,,,,,,,,,,,,,,,,,,Có,35.0,11.0,5.5,10.9,-2.1,-28.4,-22.6,-52.4,,,,,,,,,,,,37.9,0.0,103.1,100.2,-0.3,3.0,130.0,0.2,5.9,,,,-22.5,8.19,81.0,2747.0,,,,
ADG,HSX,Truyền thông,186.0,3.2,2.3,1.5,2.9,4.6,-0.2,0.5,,56.0,25.0,14.0,0.3,17.9,0.6,16.7,0.0,,Giá nằm dưới SMA(20),12.7,5.06,-11.38,-15.93,14.94,4.39,0.1,0.07,0.05,0.04,8.0,3.0,5.0,25.0,0.02,,8.71,35.5,40.27,10.0,,Bán mạnh,0.0,,5.0,487.0,MACD Histogram < 0 và giảm dần,0.4,0.6,0.6,0.4,,Giá nằm dưới SMA(50),,,,,,Trung tính,-4.81,-7.83,Tín hiệu bán,-2.13,-7.83,-22.92,-81.4,Không,30.0,-9.8,-3.7,10.4,-3.4,-0.1,-53.2,,-27.1,-84.7,3.3,2.2,Giá nằm dưới SMA(100),,-2.13,7.5,5.2,4.9,7.3,33.5,0.0,,,,,,,2.2,,,,,,,487.0,-11.2,-6.1,-7.6,-8.5
ADP,HSX,Xây dựng và Vật liệu,535.0,26.8,3.2,3.5,3.0,5.0,-0.1,0.3,,51.2,44.2,5.1,1.1,7.2,1.9,5.4,13.3,,Giá nằm dưới SMA(20),58.43,8.44,44.76,15.53,18.22,9.12,0.0,0.65,0.44,0.43,72.0,42.0,84.0,77.0,0.59,,23.2,19.9,0.92,69.0,,Bán mạnh,7.0,1.0,,3214.0,MACD Histogram < 0 và tăng dần,1.1,1.6,1.7,1.4,,Giá nằm dưới SMA(50),,,,,,Trung tính,-7.39,-9.89,,0.22,-9.89,-8.11,176.12,Có,30.0,4.1,6.4,74.1,-34.7,-28.4,-30.6,-18.5,-20.8,-28.5,2.6,,Giá nằm dưới SMA(100),,0.22,22.8,15.9,15.2,18.3,,1.0,-20.3,-43.4,-0.4,13.0,140.0,0.8,21.2,,,,-18.29,11.37,280.0,3214.0,-13.7,-6.4,-8.8,-13.2
ADS,HSX,Hàng cá nhân & Gia dụng,617.0,7.9,2.8,2.5,2.8,3.6,-0.1,0.7,,49.5,53.2,36.5,0.6,8.4,0.7,7.1,6.1,Giá cắt lên SMA(5),Giá nằm dưới SMA(20),-0.78,-0.91,-14.32,26.03,16.02,5.94,1.0,0.71,0.65,0.7,95.0,67.0,75.0,8.0,0.5,,8.07,29.9,0.17,61.0,,Bán,-16.0,1.0,,960.0,MACD Histogram < 0 và tăng dần,0.8,0.9,0.9,0.5,,Giá nằm dưới SMA(50),,,,,,Trung tính,-5.5,-7.56,,0.37,-7.56,-3.52,71.56,Không,60.0,-129.3,-32.0,73.3,13.9,-8.5,298.0,39.4,-20.1,-68.3,21.8,123.4,Giá nằm dưới SMA(100),,0.37,76.5,73.1,69.6,134.1,19.3,1.0,,,,,,,2.9,,,,,,,960.0,-3.0,-5.8,-7.9,-5.4
AFX,UPCOM,Bán lẻ,366.0,6.2,2.2,2.7,3.0,2.4,0.1,0.5,,86.5,10.1,3.6,1.6,12.3,0.7,28.7,0.0,,Giá nằm trên SMA(20),-3.79,21.62,5.64,196.36,1.76,1.24,1.4,1.43,0.94,0.71,79.0,33.0,13.0,12.0,1.85,,10.3,58.8,0.0,34.0,,Mua mạnh,0.0,,2.0,853.0,MACD Histogram > 0 và tăng dần,1.7,2.3,3.1,2.4,,Giá nằm trên SMA(50),,,,,,Trung tính,6.77,3.49,,-2.97,3.49,38.33,29.4,Có,50.0,-184.8,-48.3,29.8,105.0,17.1,70.1,-27.3,-6.4,-42.7,71.7,312.0,Giá nằm trên SMA(100),,-2.97,105.3,76.4,56.3,73.1,22.1,1.0,3.1,43.2,-1.7,9.0,735.0,0.1,2.3,,,,-7.43,272.69,494.0,853.0,25.6,4.5,4.0,14.7
AG1,UPCOM,Hàng cá nhân & Gia dụng,,,,1.9,,4.2,0.0,0.6,,90.0,21.8,9.1,0.3,,,,,,Giá nằm dưới SMA(20),,,-20.06,3.68,,,,0.03,0.03,0.02,,,,,0.01,,11.2,31.1,0.0,,,Bán mạnh,0.0,,1.0,,MACD Histogram > 0 và giảm dần,0.4,0.4,0.5,0.5,,Giá nằm dưới SMA(50),,,,,,Trung tính,-2.61,-0.34,,-1.32,-0.34,29.17,56.18,Không,35.0,,,,,,,,-23.3,-18.9,29.8,253.1,Giá nằm dưới SMA(100),,-1.32,2.7,2.6,1.9,2.0,65.0,,,,,,,,,,,,,,,,-7.8,-2.2,-6.4,-6.3
AGF,UPCOM,Thực phẩm và đồ uống,61.0,2.5,1.9,1.1,,2.0,-0.1,0.0,,66.7,68.9,51.4,0.3,-13.1,-0.3,10.8,0.0,,Giá nằm dưới SMA(20),12.16,-9.19,,,9.35,1.8,-1.9,0.0,0.0,0.0,89.0,94.0,83.0,28.0,0.0,,2.2,38.6,0.47,74.0,,Bán,0.0,0.0,0.0,-166.0,MACD Histogram < 0 và tăng dần,7.5,0.6,1.1,0.4,,Giá nằm dưới SMA(50),,,,,,Trung tính,0.0,-8.33,,0.0,-8.33,-24.14,-47.62,Có,15.0,-589.1,-140.1,-4.7,6.4,-8.3,19.3,,-26.7,-95.5,22.2,22.2,Giá nằm dưới SMA(100),,0.0,0.0,0.5,0.3,0.8,87.8,0.0,33.5,178.4,-0.7,3.0,158.0,0.1,-1.7,,,,,,-188.0,-166.0,-2.2,-0.9,-1.4,-1.4
AGG,HSX,Bất động sản,2592.0,5.2,2.1,3.2,3.0,2.4,-0.1,0.8,,43.2,34.0,1.0,0.5,15.9,0.8,23.1,0.0,,Giá nằm dưới SMA(20),-50.83,37.83,69.65,-14.24,85.29,41.57,0.4,10.15,10.92,10.92,33.0,2.0,16.0,40.0,4.62,Mua < Bán,15.95,20.5,0.77,23.0,,Bán mạnh,89.0,,1.0,1001.0,MACD Histogram < 0 và tăng dần,0.5,0.5,0.5,0.3,,Giá nằm dưới SMA(50),,,,,,Trung tính,-11.39,-19.44,,-0.93,-19.44,5.63,-1.86,Không,45.0,-46.0,-18.9,162.6,14.7,-85.4,216.6,-94.9,-27.8,-58.1,12.7,20.4,Giá nằm dưới SMA(100),,-0.93,569.2,610.0,576.2,881.1,9.4,4.0,,,,,,,2.2,,,,,,,1001.0,-8.1,-11.7,-17.2,-14.0
AGM,UPCOM,Thực phẩm và đồ uống,62.0,219.3,2.6,1.0,3.0,2.8,0.0,0.4,,76.0,0.0,10.9,9.1,-0.2,-0.3,-8.2,0.0,,Giá cắt xuống SMA(20),-69.43,-35.27,,,0.82,,-3.5,0.06,0.05,0.26,36.0,5.0,35.0,83.0,0.29,,3.3,35.4,0.56,40.0,,Bán mạnh,0.0,,1.0,-14490.0,MACD Histogram < 0 và giảm dần,,18.2,1.2,2.0,,Giá cắt xuống SMA(50),,,Tín hiệu bán,Tín hiệu bán,Tín hiệu bán,Trung tính,-15.38,0.0,,-13.16,0.0,-10.57,-73.81,Không,100.0,-1227.0,-87.3,-263.7,-64.4,-87.2,,,-23.3,-94.7,94.1,121.5,Giá nằm dưới SMA(100),,-13.16,0.0,4.9,71.7,45.4,7.9,1.0,,,,,,,-23.5,,,,,,,-14490.0,8.8,-9.3,-4.3,-1.7
